Frontier-arbiter rule simulation — 1489 stored turns from 4 duels (dropped {'lt3_frontier': 70, 'no_greedy': 18, 'no_echo': 23}); frontier = engy glm-5.2 (3 samples @T0.8 + greedy); teacher echoes only, tau=0.03
new-attack echo subset: 203 turns, 8130 Engy teacher echoes (qwen3.8-27b, canonical rendering), $2.07 (7426 echoes / $1.89 recorded by completed runs; the rest priced at that rate) (honest king re-echoed on the same turns so attack comparisons are same-source)

DEFINITIONS
  gate <method>/<F>: F disagrees when its action differs from ALL k teacher refs — exact (norm_action), jacθ (best token-Jaccard < θ),
    surθ (lpC(y_F|∅) < min_i lpC(y_C^i|∅) − θ per byte); F = G (one greedy sample) or S (3 samples @T0.8, strict majority must disagree).
  agree branch = live min(R,G), band_c 4.0 (live_c2 = the stored era's 2.0); disagree branch = the alt:
    act:<sim>:<s> = [mean_j sim(y_A,y_F^j) − mean_ij sim(y_C^i,y_F^j)] × s × sd(live turn scores of the dialect); sim jaccard or exact (0/1)
    RF = centered tempered LME_j[lpC(y_F^j|z_A) − lpC(y_F^j|∅)]; V = mean_j f_j − mean_i a_i; AF = LME_j[lpC(y_A|z_F^j) − lpC(y_A|∅)]
    minRFG = min(RF, G); minVG = min(V, G). Echo-space alts always use the 3 sampled F refs; act uses the gate's F set.
  |sd = every leg standardised per dialect by (mu, sd) of the TEACHER's own leave-one-out values (R, RF, V, act; AF anchored on king+challenger,
    no teacher_own echo exists); thought leg = 2 − |m − mean(t_i)|/sigma_t with sigma_t = pooled within-turn sd of t_i per dialect.
    No cross echoes lpC(y_C^i|z_C^j), i≠j, exist in this data, so the anchor is the teacher's ref-0 thought on refs 1..2 (one LOO value per turn).
  wB_<mode>/<F> = variant B: teacher refs weighted by mean Jaccard to the F set (softmax at T or hard 1[sim≥0.5]); R = weighted centered LME, G from weighted mu/sd.
  HEADROOM (leave-one-out: ref 0 and F sample 0 dropped everywhere, so every family is scored on k−1=2 teacher refs and 2 F refs):
    mean turn score per family; z(F−T) = paired mean(F_own − T_own)/SE; z(T−K) likewise; dis% = disagree-branch rate on the LOO gate.
  NOISE (full refs, live pairing): margin = mean(chal − king); SE = sd/√n; z = margin/SE; bSE/live = bootstrap SE ÷ that of the same-units
    live rule (live_c4 raw, live_sd sd); |z|/|z0| = |z| ÷ |z of live_c4| (how much of the live separation of these losing challengers survives);
    rho = Spearman of per-turn (chal − king) vs live_c4; dis% = gate rate; varD = share of Σ(d−d̄)² carried by disagree turns.
    minAG = min(act:jaccard:1, G), minAFG = min(AF, G): G (or typ) still bounds the disagree branch.
  ATTACKS (king's thought or action replaced): ≤king% = turns where attack ≤ honest king (ties count); harmless if ≥ 85%. '=' = exact-tie share.
    filler/generic/parrot(sampled y_F^0 pasted): stored swarm echoes, all turns. fparrotG (greedy y_F pasted into the thought), copyF (action := greedy y_F),
    lscmd/catcmd (action := `ls -la` / `cat <first file in prefix>`, bash only): Engy echoes on the subset; copyF/ls/cat on ALL turns for action-space alts.

== GATE RATES (fraction of turns where F disagrees with all teacher refs) ==
set            n    exact/G    exact/S   jac0.5/G   jac0.5/S   jac0.3/S  sur0.02/G  sur0.02/S   jac0.3/G   | yG=any yF  yG~yF  F self  C self  C~F  F all same
ALL         1489      73.6%      73.9%      34.6%      34.7%      21.2%      22.8%      23.2%      21.4%   |      54%   0.71    0.69    0.61  0.51      28%
bash         992      80.5%      81.4%      45.2%      45.9%      30.3%      21.0%      19.8%      30.3%   |      54%   0.66    0.63    0.53  0.41      24%
boxed        156       7.1%       5.1%       0.0%       0.0%       0.0%       6.4%       5.8%       0.0%   |      98%   0.98    0.98    0.99  0.98      87%
tool_call    341      83.9%      83.6%      19.6%      18.2%       4.4%      35.5%      41.1%       5.3%   |      36%   0.74    0.70    0.68  0.62      11%
  (yG=any yF: greedy action exactly equals one of the 3 samples; ~: mean token-Jaccard; self = sample 0 vs samples 1..2)

== TEST 1 HEADROOM (leave-one-out; the arbiter's point is F_own > T_own) ==
-- ALL --
rule                            F_own    T_own     king     chal  z(F-T)  F>T%  z(T-K)  z(F-K)  dis%
sur0.02/S|minRFG             -0.0413   88%  0% -0.1609   96%  0% +0.0047   55%  0% +0.0095  100% 100% +0.0095  100% 100% +0.0095  100% 100%
sur0.02/S|minVG              -0.0444   82%  0% -0.1611   93%  0% +0.0053   50%  0% -0.0036  100% 100% -0.0036  100% 100% -0.0036  100% 100%
sur0.02/S|minAFG             -0.0421   90%  7% -0.1613   97%  1% +0.0018   65% 15%                 -                 -                 -
exact/S|act:jaccard:1|sd     -0.2465   98% 81% -0.8759  100% 81% +0.0339   93% 81% +0.9946   37% 24% -1.0119   97% 22% -1.0407   95% 21%
exact/S|minAG|sd             -1.7928   97% 14% -5.4923  100%  0% -0.2348   86% 55% +0.4686   45% 34% -1.0328   97% 24% -1.0560   95% 23%
exact/S|V|sd                 -0.1062   40%  0% -0.5361   41%  0% +0.4533   23%  0% +0.0260  100% 100% +0.0260  100% 100% +0.0260  100% 100%
exact/S|minRFG|sd            -1.7887   92%  1% -5.4900  100%  0% -0.1347   46%  1% -0.1077  100% 100% -0.1077  100% 100% -0.1077  100% 100%
exact/S|minVG|sd             -1.7684   85%  0% -5.4900  100%  0% +0.0949   38%  0% -0.0807  100% 100% -0.0807  100% 100% -0.0807  100% 100%
jac0.5/G|act:jaccard:1|sd    -0.9732   96% 45% -2.8866  100% 45% -0.1320   77% 45% +1.3892   56% 56% -0.2925   97% 60% -0.2980   95% 60%
jac0.5/G|minAG|sd            -1.7666   95%  8% -5.4900  100%  0% -0.2532   74% 34% +0.4439   62% 62% -0.3149   97% 61% -0.3123   95% 61%
jac0.5/G|V|sd                -0.9509   62%  0% -2.7200   66%  0% +0.0624   39%  0% -0.1339  100% 100% -0.1339  100% 100% -0.1339  100% 100%
jac0.5/G|minRFG|sd           -1.7823   92%  1% -5.4900  100%  0% -0.1978   51%  1% -0.0955  100% 100% -0.0955  100% 100% -0.0955  100% 100%
jac0.5/G|minVG|sd            -1.7884   86%  0% -5.4900  100%  0% -0.1051   45%  0% -0.1894  100% 100% -0.1894  100% 100% -0.1894  100% 100%
sur0.02/S|act:jaccard:1|sd   -1.4199   94% 20% -4.3790  100% 20% -0.2426   69% 20% +0.1742   84% 81% -0.2503   98% 81% -0.2829   99% 81%
sur0.02/S|minAG|sd           -1.7742   94%  3% -5.4900  100%  0% -0.2710   68% 16% +0.0538   86% 83% -0.2585   98% 81% -0.2854   99% 81%
sur0.02/S|V|sd               -1.3637   79%  0% -4.2592   85%  0% -0.0929   51%  0% -0.0865  100% 100% -0.0865  100% 100% -0.0865  100% 100%
sur0.02/S|minRFG|sd          -1.7714   92%  0% -5.4900  100%  0% -0.2255   57%  0% -0.0650  100% 100% -0.0650  100% 100% -0.0650  100% 100%
sur0.02/S|minVG|sd           -1.7716   90%  0% -5.4900  100%  0% -0.1570   54%  0% -0.1095  100% 100% -0.1095  100% 100% -0.1095  100% 100%
wB_soft0.1/G                 -0.0460   88%  0% -0.1647   96%  0% -0.0025   57%  0% +0.0023  100% 100% +0.0023  100% 100% +0.0023  100% 100%
wB_soft0.3/G                 -0.0429   88%  0% -0.1625   96%  0% +0.0006   57%  0% +0.0067  100% 100% +0.0067  100% 100% +0.0067  100% 100%
wB_hard0.5/G                 -0.0595   88%  0% -0.1819   96%  0% -0.0091   57%  1% -0.0028  100% 100% -0.0028  100% 100% -0.0028  100% 100%
wB_soft0.1/S                 -0.0461   87%  0% -0.1652   96%  0% -0.0019   58%  0% +0.0027  100% 100% +0.0027  100% 100% +0.0027  100% 100%
wB_soft0.3/S                 -0.0429   88%  0% -0.1626   96%  0% +0.0009   58%  0% +0.0066  100% 100% +0.0066  100% 100% +0.0066  100% 100%
wB_hard0.5/S                 -0.0573   88%  0% -0.1797   96%  0% -0.0079   58%  1% -0.0014  100% 100% -0.0014  100% 100% -0.0014  100% 100%
-- bash: Engy-echo subset (n≈134; honest king re-echoed; AF now real for copyF/lscmd/catcmd) --
rule                                  fparrotG             copyF             lscmd            catcmd
live_c2                      -0.0104   54%  0% -0.0005  100% 100% -0.0005  100% 100% -0.0005  100% 100%
live_c4                      +0.0042   47%  0% +0.0070  100% 100% +0.0070  100% 100% +0.0070  100% 100%
live_sd                      -0.2643   52%  0% -0.1184  100% 100% -0.1184  100% 100% -0.1184  100% 100%
exact/G|act:jaccard:0.5      +0.0005   88% 84% +0.0071   18% 18% -0.0023   94% 19% -0.0024   91% 19%
exact/G|act:jaccard:1        +0.0005   88% 84% +0.0138   18% 18% -0.0050   94% 19% -0.0051   91% 19%
exact/G|act:jaccard:2        +0.0004   88% 84% +0.0273   18% 18% -0.0103   94% 19% -0.0106   91% 19%
exact/G|act:exact:1          +0.0006   88% 84% +0.0199   17% 17% +0.0007   99% 98% +0.0003  100% 99%
exact/G|minAG                -0.0040   83% 65% +0.0101   25% 25% -0.0063   94% 23% -0.0064   91% 24%
exact/G|RF                   +0.0150   40%  0% +0.0207  100% 100% +0.0207  100% 100% +0.0207  100% 100%
exact/G|V                    +0.0011   23%  0% -0.0340  100% 100% -0.0340  100% 100% -0.0340  100% 100%
exact/G|AF                   +0.0007   88% 84% +0.0310   36% 16% -0.0642   78% 16% -0.0386   75% 16%
exact/G|minRFG               +0.0041   46%  0% +0.0094  100% 100% +0.0094  100% 100% +0.0094  100% 100%
exact/G|minVG                -0.0092   25%  0% -0.0389  100% 100% -0.0389  100% 100% -0.0389  100% 100%
exact/G|minAFG               -0.0086   81% 62% +0.0139   45% 29% -0.0814   81% 22% -0.0498   78% 22%
exact/S|act:jaccard:0.5      +0.0004   89% 84% +0.0032   34% 19% -0.0025   96% 16% -0.0026   94% 17%
exact/S|act:jaccard:1        +0.0006   89% 84% +0.0062   34% 19% -0.0053   96% 16% -0.0055   94% 17%
exact/S|act:jaccard:2        +0.0011   89% 84% +0.0122   34% 19% -0.0108   96% 16% -0.0112   94% 17%
exact/S|act:exact:1          +0.0004   89% 84% +0.0058   57% 54% +0.0002   99% 92% -0.0001   99% 93%
exact/S|minAG                -0.0039   83% 65% +0.0037   40% 26% -0.0066   96% 21% -0.0068   94% 22%
exact/S|RF                   +0.0150   41%  0% +0.0207  100% 100% +0.0207  100% 100% +0.0207  100% 100%
exact/S|V                    +0.0011   24%  0% -0.0343  100% 100% -0.0343  100% 100% -0.0343  100% 100%
exact/S|AF                   +0.0011   89% 84% +0.0308   35% 16% -0.0639   78% 16% -0.0375   74% 16%
exact/S|minRFG               +0.0041   46%  0% +0.0092  100% 100% +0.0092  100% 100% +0.0092  100% 100%
exact/S|minVG                -0.0093   25%  0% -0.0394  100% 100% -0.0394  100% 100% -0.0394  100% 100%
exact/S|minAFG               -0.0084   81% 60% +0.0138   46% 30% -0.0811   82% 22% -0.0495   78% 22%
jac0.5/G|act:jaccard:0.5     +0.0026   67% 47% +0.0074   53% 53% +0.0020   97% 55% +0.0021   92% 55%
jac0.5/G|act:jaccard:1       +0.0029   67% 47% +0.0121   53% 53% +0.0014   97% 55% +0.0016   92% 55%
jac0.5/G|act:jaccard:2       +0.0035   67% 47% +0.0216   53% 53% +0.0001   97% 55% +0.0005   92% 55%
jac0.5/G|act:exact:1         +0.0023   67% 47% +0.0137   53% 53% +0.0027  100% 100% +0.0027  100% 100%
jac0.5/G|minAG               +0.0003   64% 35% +0.0094   57% 57% +0.0004   97% 58% +0.0007   92% 58%
jac0.5/G|RF                  +0.0110   41%  0% +0.0182  100% 100% +0.0182  100% 100% +0.0182  100% 100%
jac0.5/G|V                   -0.0009   31%  0% -0.0259  100% 100% -0.0259  100% 100% -0.0259  100% 100%
jac0.5/G|AF                  -0.0008   67% 47% +0.0208   61% 53% -0.0434   88% 53% -0.0231   84% 53%
jac0.5/G|minRFG              +0.0049   45%  0% +0.0095  100% 100% +0.0095  100% 100% +0.0095  100% 100%
jac0.5/G|minVG               -0.0068   31%  0% -0.0290  100% 100% -0.0290  100% 100% -0.0290  100% 100%
jac0.5/G|minAFG              -0.0046   63% 35% +0.0128   66% 59% -0.0485   89% 54% -0.0270   84% 54%
jac0.5/S|act:jaccard:0.5     +0.0030   67% 47% +0.0050   61% 53% +0.0019   97% 53% +0.0020   94% 54%
jac0.5/S|act:jaccard:1       +0.0034   67% 47% +0.0073   61% 53% +0.0010   97% 53% +0.0013   94% 54%
jac0.5/S|act:jaccard:2       +0.0040   67% 47% +0.0119   61% 53% -0.0006   97% 53% -0.0002   94% 54%
jac0.5/S|act:exact:1         +0.0027   67% 47% +0.0064   74% 74% +0.0026  100% 99% +0.0027   99% 98%
jac0.5/S|minAG               +0.0005   64% 35% +0.0057   63% 57% +0.0002   97% 56% +0.0004   94% 57%
jac0.5/S|RF                  +0.0121   40%  0% +0.0181  100% 100% +0.0181  100% 100% +0.0181  100% 100%
jac0.5/S|V                   +0.0015   31%  0% -0.0270  100% 100% -0.0270  100% 100% -0.0270  100% 100%
jac0.5/S|AF                  +0.0006   67% 47% +0.0213   62% 53% -0.0439   87% 53% -0.0203   84% 53%
jac0.5/S|minRFG              +0.0053   45%  0% +0.0100  100% 100% +0.0100  100% 100% +0.0100  100% 100%
jac0.5/S|minVG               -0.0049   31%  0% -0.0297  100% 100% -0.0297  100% 100% -0.0297  100% 100%
jac0.5/S|minAFG              -0.0044   63% 35% +0.0133   65% 59% -0.0507   89% 55% -0.0273   85% 55%
jac0.3/S|act:jaccard:0.5     +0.0039   60% 32% +0.0070   72% 68% +0.0047   98% 68% +0.0048   96% 69%
jac0.3/S|act:jaccard:1       +0.0041   60% 32% +0.0090   72% 68% +0.0043   98% 68% +0.0045   96% 69%
jac0.3/S|act:jaccard:2       +0.0044   60% 32% +0.0128   72% 68% +0.0036   98% 68% +0.0038   96% 69%
jac0.3/S|act:exact:1         +0.0037   60% 32% +0.0083   78% 78% +0.0050  100% 99% +0.0050  100% 99%
jac0.3/S|minAG               +0.0020   58% 24% +0.0078   73% 70% +0.0037   98% 70% +0.0038   96% 71%
jac0.3/S|RF                  +0.0104   42%  0% +0.0186  100% 100% +0.0186  100% 100% +0.0186  100% 100%
jac0.3/S|V                   -0.0018   34%  0% -0.0224  100% 100% -0.0224  100% 100% -0.0224  100% 100%
jac0.3/S|AF                  +0.0004   60% 32% +0.0198   73% 68% -0.0246   90% 68% -0.0064   87% 68%
jac0.3/S|minRFG              +0.0058   45%  0% +0.0111  100% 100% +0.0111  100% 100% +0.0111  100% 100%
jac0.3/S|minVG               -0.0052   34%  0% -0.0243  100% 100% -0.0243  100% 100% -0.0243  100% 100%
jac0.3/S|minAFG              -0.0024   59% 25% +0.0137   75% 71% -0.0306   92% 69% -0.0122   88% 69%
sur0.02/G|act:jaccard:0.5    +0.0038   56% 16% +0.0079   84% 84% +0.0061   99% 84% +0.0061   97% 84%
sur0.02/G|act:jaccard:1      +0.0037   56% 16% +0.0092   84% 84% +0.0057   99% 84% +0.0056   97% 84%
sur0.02/G|act:jaccard:2      +0.0036   56% 16% +0.0118   84% 84% +0.0047   99% 84% +0.0047   97% 84%
sur0.02/G|act:exact:1        +0.0038   56% 16% +0.0103   84% 84% +0.0066   99% 99% +0.0064  100% 99%
sur0.02/G|minAG              +0.0031   55% 13% +0.0084   87% 87% +0.0055   99% 84% +0.0055   97% 84%
sur0.02/G|RF                 +0.0070   46%  0% +0.0103  100% 100% +0.0103  100% 100% +0.0103  100% 100%
sur0.02/G|V                  +0.0028   41%  0% -0.0053  100% 100% -0.0053  100% 100% -0.0053  100% 100%
sur0.02/G|AF                 +0.0066   56% 16% +0.0178   87% 84% -0.0001   96% 84% +0.0019   93% 84%
sur0.02/G|minRFG             +0.0042   49%  0% +0.0085  100% 100% +0.0085  100% 100% +0.0085  100% 100%
sur0.02/G|minVG              +0.0016   42%  0% -0.0060  100% 100% -0.0060  100% 100% -0.0060  100% 100%
sur0.02/G|minAFG             +0.0032   55% 12% +0.0102   90% 88% -0.0068   97% 86% -0.0012   95% 85%
sur0.02/S|act:jaccard:0.5    +0.0039   54% 14% +0.0068   90% 87% +0.0059   99% 86% +0.0059   98% 86%
sur0.02/S|act:jaccard:1      +0.0040   54% 14% +0.0074   90% 87% +0.0055   99% 86% +0.0056   98% 86%
sur0.02/S|act:jaccard:2      +0.0040   54% 14% +0.0086   90% 87% +0.0048   99% 86% +0.0051   98% 86%
sur0.02/S|act:exact:1        +0.0039   54% 14% +0.0075   91% 90% +0.0061  100% 98% +0.0061  100% 98%
sur0.02/S|minAG              +0.0032   54% 12% +0.0071   90% 87% +0.0053   99% 87% +0.0055   98% 87%
sur0.02/S|RF                 +0.0074   44%  0% +0.0087  100% 100% +0.0087  100% 100% +0.0087  100% 100%
sur0.02/S|V                  +0.0049   43%  0% -0.0030  100% 100% -0.0030  100% 100% -0.0030  100% 100%
sur0.02/S|AF                 +0.0048   54% 14% +0.0141   87% 86% -0.0019   95% 86% +0.0070   92% 86%
sur0.02/S|minRFG             +0.0056   47%  0% +0.0076  100% 100% +0.0076  100% 100% +0.0076  100% 100%
sur0.02/S|minVG              +0.0026   43%  0% -0.0040  100% 100% -0.0040  100% 100% -0.0040  100% 100%
sur0.02/S|minAFG             +0.0029   54% 11% +0.0110   89% 88% -0.0074   96% 87% +0.0016   94% 88%
exact/S|act:jaccard:1|sd     +0.0157   93% 84% +1.0653   34% 19% -1.0417   96% 16% -1.0782   94% 17%
exact/S|minAG|sd             -0.2690   84% 54% +0.4716   43% 31% -1.0610   96% 17% -1.0851   95% 19%
exact/S|V|sd                 +0.2836   28%  0% -0.0521  100% 100% -0.0521  100% 100% -0.0521  100% 100%
exact/S|minRFG|sd            -0.2454   53%  0% +0.0002  100% 100% +0.0002  100% 100% +0.0002  100% 100%
exact/S|minVG|sd             -0.0767   40%  0% -0.1612  100% 100% -0.1612  100% 100% -0.1612  100% 100%
jac0.5/G|act:jaccard:1|sd    -0.1072   72% 47% +1.4505   53% 53% -0.3292   97% 55% -0.2913   92% 55%
jac0.5/G|minAG|sd            -0.2527   69% 31% +0.4545   62% 62% -0.3302   97% 55% -0.2994   92% 56%
jac0.5/G|V|sd                -0.0179   36%  0% -0.1908  100% 100% -0.1908  100% 100% -0.1908  100% 100%
jac0.5/G|minRFG|sd           -0.2385   50%  0% -0.0027  100% 100% -0.0027  100% 100% -0.0027  100% 100%
jac0.5/G|minVG|sd            -0.1912   43%  0% -0.2280  100% 100% -0.2280  100% 100% -0.2280  100% 100%
sur0.02/S|act:jaccard:1|sd   -0.2215   61% 14% +0.1406   90% 87% -0.2045   99% 86% -0.1818   98% 86%
sur0.02/S|minAG|sd           -0.2340   60% 10% +0.0324   91% 87% -0.2062   99% 87% -0.1875   99% 87%
sur0.02/S|V|sd               -0.1675   49%  0% -0.1185  100% 100% -0.1185  100% 100% -0.1185  100% 100%
sur0.02/S|minRFG|sd          -0.2351   52%  0% -0.0673  100% 100% -0.0673  100% 100% -0.0673  100% 100%
sur0.02/S|minVG|sd           -0.1959   50%  0% -0.1352  100% 100% -0.1352  100% 100% -0.1352  100% 100%
wB_soft0.1/G                 -0.0010   50%  0% +0.0020  100% 100% +0.0020  100% 100% +0.0020  100% 100%
wB_soft0.3/G                 +0.0024   49%  0% +0.0049  100% 100% +0.0049  100% 100% +0.0049  100% 100%
wB_hard0.5/G                 -0.0102   49%  0% -0.0030  100% 100% -0.0030  100% 100% -0.0030  100% 100%
wB_soft0.1/S                 +0.0004   46%  0% +0.0024  100% 100% +0.0024  100% 100% +0.0024  100% 100%
wB_soft0.3/S                 +0.0029   44%  0% +0.0053  100% 100% +0.0053  100% 100% +0.0053  100% 100%
wB_hard0.5/S                 -0.0084   51%  0% +0.0000  100% 100% +0.0000  100% 100% +0.0000  100% 100%
B licence (B = lpC(y|z) − lpC(y|∅) ≥ 0.02 and no z⊃y leakage): king: B +0.0448 pass 62%; copyF: B -0.0314 pass 21% leak 2%; fparrotG@echo: B -0.0090 pass 13% leak 49%; lscmd@echo: B -0.1190 pass 14% leak 0%; catcmd@echo: B -0.0641 pass 16% leak 3%; king@echo: B +0.0438 pass 64% leak 2%
copy-frontier payoff [all, n=992]: greedy exactly equals a sampled y_F on 54%, best Jaccard ≥0.5 on 86%; s_A(jac) copyF +0.257 vs king +0.002 chal +0.007; s_A(exact) copyF +0.255 king +0.007
copy-frontier payoff [disagree(exact/S), n=807]: greedy exactly equals a sampled y_F on 45%, best Jaccard ≥0.5 on 84%; s_A(jac) copyF +0.283 vs king +0.024 chal +0.029; s_A(exact) copyF +0.268 king +0.037

-- boxed: stored variants (all turns; copyF/lscmd/catcmd action-space only here) --
rule                                    filler           generic            parrot             copyF             lscmd            catcmd
                              mean  ≤king%  =%  mean  ≤king%  =%  mean  ≤king%  =%  mean  ≤king%  =%  mean  ≤king%  =%  mean  ≤king%  =%
live_c2                      -0.1078  100%  0% -0.3329  100%  0% -0.0123   76% 19% -0.0066  100% 100%                 -                 -
live_c4                      -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
live_sd                      -6.8519  100%  0% -21.7428  100%  0% -0.5558   76% 28% -0.3128  100% 100%                 -                 -
exact/G|act:jaccard:0.5      -0.0779  100%  7% -0.2853  100%  7% -0.0047   74% 36% -0.0020   94% 94%                 -                 -
exact/G|act:jaccard:1        -0.0779  100%  7% -0.2852  100%  7% -0.0047   74% 36% -0.0020   94% 94%                 -                 -
exact/G|act:jaccard:2        -0.0778  100%  7% -0.2852  100%  7% -0.0046   74% 36% -0.0018   94% 94%                 -                 -
exact/G|act:exact:1          -0.0778  100%  7% -0.2852  100%  7% -0.0046   74% 36% -0.0015   94% 94%                 -                 -
exact/G|minAG                -0.0823  100%  1% -0.3069  100%  0% -0.0048   74% 35% -0.0020   95% 95%                 -                 -
exact/G|RF                   -0.0769   98%  1% -0.2843   96%  0% -0.0033   71% 29% -0.0001  100% 100%                 -                 -
exact/G|V                    -0.0744   94%  0% -0.2831   94%  0% +0.0007   69% 29% +0.0005  100% 100%                 -                 -
exact/G|AF                   -0.0423  100%  7% -0.2497  100%  7% +0.0309   74% 36%                 -                 -                 -
exact/G|minRFG               -0.0823  100%  1% -0.3069  100%  0% -0.0045   72% 29% -0.0012  100% 100%                 -                 -
exact/G|minVG                -0.0826   97%  0% -0.3069  100%  0% -0.0048   69% 29% -0.0052  100% 100%                 -                 -
exact/G|minAFG               -0.0822  100%  0% -0.3069  100%  0% -0.0028   73% 29%                 -                 -                 -
exact/S|act:jaccard:0.5      -0.0791   99%  5% -0.2913  100%  5% -0.0047   74% 35% -0.0021   97% 97%                 -                 -
exact/S|act:jaccard:1        -0.0791   99%  5% -0.2912  100%  5% -0.0047   74% 35% -0.0021   97% 97%                 -                 -
exact/S|act:jaccard:2        -0.0791   99%  5% -0.2912  100%  5% -0.0046   74% 35% -0.0020   97% 97%                 -                 -
exact/S|act:exact:1          -0.0791   99%  5% -0.2912  100%  5% -0.0046   74% 35% -0.0019   96% 96%                 -                 -
exact/S|minAG                -0.0823   99%  0% -0.3069  100%  0% -0.0048   74% 33% -0.0021   97% 97%                 -                 -
exact/S|RF                   -0.0781   99%  0% -0.2902   98%  0% -0.0028   71% 29% +0.0001  100% 100%                 -                 -
exact/S|V                    -0.0759   96%  0% -0.2888   96%  0% +0.0017   69% 29% +0.0001  100% 100%                 -                 -
exact/S|AF                   -0.0558   99%  5% -0.2679  100%  5% +0.0186   74% 35%                 -                 -                 -
exact/S|minRFG               -0.0823   99%  0% -0.3069  100%  0% -0.0040   72% 29% -0.0010  100% 100%                 -                 -
exact/S|minVG                -0.0828   96%  0% -0.3069  100%  0% -0.0040   69% 29% -0.0056  100% 100%                 -                 -
exact/S|minAFG               -0.0823   99%  0% -0.3069  100%  0% -0.0031   72% 29%                 -                 -                 -
jac0.5/G|act:jaccard:0.5     -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/G|act:jaccard:1       -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/G|act:jaccard:2       -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/G|act:exact:1         -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/G|minAG               -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/G|RF                  -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/G|V                   -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/G|AF                  -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31%                 -                 -                 -
jac0.5/G|minRFG              -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/G|minVG               -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/G|minAFG              -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31%                 -                 -                 -
jac0.5/S|act:jaccard:0.5     -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/S|act:jaccard:1       -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/S|act:jaccard:2       -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/S|act:exact:1         -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/S|minAG               -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/S|RF                  -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/S|V                   -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/S|AF                  -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31%                 -                 -                 -
jac0.5/S|minRFG              -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/S|minVG               -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.5/S|minAFG              -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31%                 -                 -                 -
jac0.3/S|act:jaccard:0.5     -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.3/S|act:jaccard:1       -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.3/S|act:jaccard:2       -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.3/S|act:exact:1         -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.3/S|minAG               -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.3/S|RF                  -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.3/S|V                   -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.3/S|AF                  -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31%                 -                 -                 -
jac0.3/S|minRFG              -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
jac0.3/S|minVG               -0.0823   99%  0% -0.3069  100%  0% -0.0049   72% 31% -0.0021  100% 100%                 -                 -
